,Symbol,Order,Shares
2010-01-04,JPM,BUY,0.0
2010-01-05,JPM,BUY,0.0
2010-01-06,JPM,BUY,0.0
2010-01-07,JPM,BUY,0.0
2010-01-08,JPM,BUY,0.0
2010-01-11,JPM,BUY,0.0
2010-01-12,JPM,BUY,0.0
2010-01-13,JPM,BUY,0.0
2010-01-14,JPM,BUY,0.0
2010-01-15,JPM,BUY,0.0
2010-01-19,JPM,BUY,0.0
2010-01-20,JPM,BUY,0.0
2010-01-21,JPM,BUY,0.0
2010-01-22,JPM,BUY,0.0
2010-01-25,JPM,BUY,0.0
2010-01-26,JPM,BUY,0.0
2010-01-27,JPM,BUY,0.0
2010-01-28,JPM,BUY,0.0
2010-01-29,JPM,BUY,0.0
2010-02-01,JPM,BUY,0.0
2010-02-02,JPM,BUY,0.0
2010-02-03,JPM,BUY,0.0
2010-02-04,JPM,BUY,0.0
2010-02-05,JPM,BUY,0.0
2010-02-08,JPM,BUY,0.0
2010-02-09,JPM,BUY,0.0
2010-02-10,JPM,BUY,0.0
2010-02-11,JPM,BUY,0.0
2010-02-12,JPM,BUY,0.0
2010-02-16,JPM,BUY,0.0
2010-02-17,JPM,BUY,0.0
2010-02-18,JPM,BUY,0.0
2010-02-19,JPM,BUY,0.0
2010-02-22,JPM,BUY,0.0
2010-02-23,JPM,BUY,0.0
2010-02-24,JPM,BUY,0.0
2010-02-25,JPM,BUY,0.0
2010-02-26,JPM,BUY,0.0
2010-03-01,JPM,BUY,0.0
2010-03-02,JPM,BUY,0.0
2010-03-03,JPM,BUY,0.0
2010-03-04,JPM,BUY,0.0
2010-03-05,JPM,BUY,0.0
2010-03-08,JPM,BUY,0.0
2010-03-09,JPM,BUY,0.0
2010-03-10,JPM,BUY,0.0
2010-03-11,JPM,BUY,0.0
2010-03-12,JPM,BUY,0.0
2010-03-15,JPM,BUY,0.0
2010-03-16,JPM,BUY,0.0
2010-03-17,JPM,BUY,0.0
2010-03-18,JPM,BUY,0.0
2010-03-19,JPM,BUY,0.0
2010-03-22,JPM,BUY,0.0
2010-03-23,JPM,BUY,0.0
2010-03-24,JPM,BUY,0.0
2010-03-25,JPM,BUY,0.0
2010-03-26,JPM,BUY,0.0
2010-03-29,JPM,BUY,0.0
2010-03-30,JPM,BUY,0.0
2010-03-31,JPM,BUY,0.0
2010-04-01,JPM,BUY,0.0
