,Symbol,Order,Shares
2008-01-02,JPM,BUY,0.0
2008-01-03,JPM,BUY,0.0
2008-01-04,JPM,BUY,0.0
2008-01-07,JPM,BUY,0.0
2008-01-08,JPM,BUY,0.0
2008-01-09,JPM,BUY,0.0
2008-01-10,JPM,BUY,0.0
2008-01-11,JPM,BUY,0.0
2008-01-14,JPM,BUY,0.0
2008-01-15,JPM,BUY,0.0
2008-01-16,JPM,BUY,0.0
2008-01-17,JPM,BUY,0.0
2008-01-18,JPM,BUY,0.0
2008-01-22,JPM,BUY,0.0
2008-01-23,JPM,BUY,0.0
2008-01-24,JPM,BUY,0.0
2008-01-25,JPM,BUY,0.0
2008-01-28,JPM,BUY,0.0
2008-01-29,JPM,BUY,0.0
2008-01-30,JPM,BUY,0.0
2008-01-31,JPM,BUY,0.0
2008-02-01,JPM,BUY,0.0
2008-02-04,JPM,BUY,0.0
2008-02-05,JPM,BUY,0.0
2008-02-06,JPM,BUY,0.0
2008-02-07,JPM,BUY,0.0
2008-02-08,JPM,BUY,0.0
2008-02-11,JPM,BUY,0.0
2008-02-12,JPM,BUY,0.0
2008-02-13,JPM,BUY,0.0
2008-02-14,JPM,BUY,0.0
2008-02-15,JPM,BUY,0.0
2008-02-19,JPM,BUY,0.0
2008-02-20,JPM,BUY,0.0
2008-02-21,JPM,BUY,0.0
2008-02-22,JPM,BUY,0.0
2008-02-25,JPM,BUY,0.0
2008-02-26,JPM,BUY,0.0
2008-02-27,JPM,BUY,0.0
2008-02-28,JPM,BUY,0.0
2008-02-29,JPM,BUY,0.0
2008-03-03,JPM,BUY,0.0
2008-03-04,JPM,BUY,0.0
2008-03-05,JPM,BUY,0.0
2008-03-06,JPM,BUY,0.0
2008-03-07,JPM,BUY,0.0
2008-03-10,JPM,BUY,0.0
2008-03-11,JPM,BUY,0.0
2008-03-12,JPM,BUY,0.0
2008-03-13,JPM,BUY,0.0
2008-03-14,JPM,BUY,0.0
2008-03-17,JPM,BUY,0.0
2008-03-18,JPM,BUY,0.0
2008-03-19,JPM,BUY,0.0
2008-03-20,JPM,BUY,0.0
2008-03-24,JPM,BUY,0.0
2008-03-25,JPM,BUY,0.0
2008-03-26,JPM,BUY,0.0
2008-03-27,JPM,BUY,0.0
2008-03-28,JPM,BUY,0.0
2008-03-31,JPM,BUY,0.0
2008-04-01,JPM,BUY,0.0
2008-04-02,JPM,BUY,0.0
2008-04-03,JPM,BUY,0.0
2008-04-04,JPM,BUY,0.0
2008-04-07,JPM,BUY,0.0
2008-04-08,JPM,BUY,0.0
2008-04-09,JPM,BUY,0.0
2008-04-10,JPM,BUY,0.0
2008-04-11,JPM,BUY,0.0
2008-04-14,JPM,BUY,0.0
2008-04-15,JPM,BUY,0.0
2008-04-16,JPM,BUY,0.0
2008-04-17,JPM,BUY,0.0
2008-04-18,JPM,BUY,0.0
2008-04-21,JPM,BUY,0.0
2008-04-22,JPM,BUY,0.0
2008-04-23,JPM,BUY,0.0
2008-04-24,JPM,BUY,0.0
2008-04-25,JPM,BUY,0.0
2008-04-28,JPM,BUY,0.0
2008-04-29,JPM,BUY,0.0
2008-04-30,JPM,BUY,0.0
2008-05-01,JPM,BUY,0.0
2008-05-02,JPM,BUY,0.0
2008-05-05,JPM,BUY,0.0
2008-05-06,JPM,BUY,0.0
2008-05-07,JPM,BUY,0.0
2008-05-08,JPM,BUY,0.0
2008-05-09,JPM,BUY,0.0
2008-05-12,JPM,BUY,0.0
2008-05-13,JPM,BUY,0.0
2008-05-14,JPM,BUY,0.0
2008-05-15,JPM,BUY,0.0
2008-05-16,JPM,BUY,0.0
2008-05-19,JPM,BUY,0.0
2008-05-20,JPM,BUY,0.0
2008-05-21,JPM,BUY,0.0
